Abbreviation,State/Province Name,Country
(blank),(none),(none)
test,Alaska,UNITED STATES
AL,Alabama,UNITED STATES
AR,Arkansas,UNITED STATES
AZ,Arizona,UNITED STATES
CA,California,UNITED STATES
CO,Colorado,UNITED STATES
CT,Connecticut,UNITED STATES
DC,District of Columbia,UNITED STATES
DE,Delaware,UNITED STATES
FL,Florida,UNITED STATES
GA,Georgia,UNITED STATES
HI,Hawaii,UNITED STATES
IA,Iowa,UNITED STATES
ID,Idaho,UNITED STATES
IL,Illinois,UNITED STATES
IN,Indiana,UNITED STATES
KS,Kansas,UNITED STATES
KY,Kentucky,UNITED STATES
LA,Louisiana,UNITED STATES
MA,Massachusetts,UNITED STATES
MD,Maryland,UNITED STATES
ME,Maine,UNITED STATES
MI,Michigan,UNITED STATES
MN,Minnesota,UNITED STATES
MO,Missouri,UNITED STATES
MS,Mississippi,UNITED STATES
MT,Montana,UNITED STATES
NC,North Carolina,UNITED STATES
ND,North Dakota,UNITED STATES
NE,Nebraska,UNITED STATES
NH,New Hampshire,UNITED STATES
NJ,New Jersey,UNITED STATES
NM,New Mexico,UNITED STATES
NV,Nevada,UNITED STATES
NY,New York,UNITED STATES
OH,Ohio,UNITED STATES
OK,Oklahoma,UNITED STATES
OR,Oregon,UNITED STATES
PA,Pennsylvania,UNITED STATES
RI,Rhode Island,UNITED STATES
SC,South Carolina,UNITED STATES
SD,South Dakota,UNITED STATES
TN,Tennessee,UNITED STATES
TX,Texas,UNITED STATES
UT,Utah,UNITED STATES
VA,Virginia,UNITED STATES
VT,Vermont,UNITED STATES
WA,Washington,UNITED STATES
WI,Wisconsin,UNITED STATES
WV,West Virginia,UNITED STATES
WY,Wyoming,UNITED STATES
AB,Alberta,Canada
BC,British Columbia,Canada
MB,Manitoba,Canada
NB,New Brunswick,Canada
NL,Newfoundland and Labrador,Canada
NS,Nova Scotia,Canada
NT,Northwest Territories,Canada
NU,Nunavut,Canada
ON,Ontario,Canada
PE,Prince Edward Island,Canada
QC,Quebec,Canada
SK,Saskatchewan,Canada
YT,Yukon,Canada
